activity_id,week,location_id,co_share_group
A023,25,PLAT:ALP:S04:WB,g149
A023,25,SEC:ALP:S03_S04:WB,g149
A013,25,PLAT:ALP:S05:WB,g150
A013,25,PLAT:ALP:S06:WB,g150
A013,25,SEC:ALP:S05_S06:WB,g150
A066,25,PLAT:ALP:H01:WB,g151
A066,25,PLAT:ALP:S02:WB,g151
A066,25,PLAT:ALP:S03:WB,g151
A066,25,PLAT:ALP:S04:WB,g151
A066,25,SEC:ALP:S02_S03:WB,g151
A066,25,SEC:ALP:S03_S04:WB,g151
A066,25,SEC:ALP:S04_H01:WB,g151
A040,26,PLAT:BET:H01:EB,g152
A040,26,PLAT:BET:H02:EB,g152
A040,26,PLAT:BET:S15:EB,g152
A040,26,PLAT:BET:S16:EB,g152
A040,26,SEC:BET:H01_H02:EB,g152
A040,26,SEC:BET:H02_S15:EB,g152
A040,26,SEC:BET:S15_S16:EB,g152
A023,26,PLAT:ALP:S03:WB,g153
A023,26,PLAT:ALP:S04:WB,g153
A023,26,SEC:ALP:S03_S04:WB,g153
A051,26,PLAT:BET:S17:WB,g154
A051,26,PLAT:BET:S18:WB,g154
A051,26,SEC:BET:S17_S18:WB,g154
A043,27,PLAT:BET:H02:EB,g155
A043,27,PLAT:BET:S15:EB,g155
A043,27,PLAT:BET:S16:EB,g155
A043,27,PLAT:BET:S17:EB,g155
A043,27,SEC:BET:H02_S15:EB,g155
A043,27,SEC:BET:S15_S16:EB,g155
A043,27,SEC:BET:S16_S17:EB,g155
A023,27,PLAT:ALP:S03:WB,g156
A023,27,PLAT:ALP:S04:WB,g156
A023,27,SEC:ALP:S03_S04:WB,g156
A036,27,PLAT:BET:H01:EB,g157
A036,27,PLAT:BET:S14:EB,g157
A036,27,SEC:BET:S14_H01:EB,g157
A051,27,PLAT:BET:S17:WB,g158
A051,27,PLAT:BET:S18:WB,g158
A051,27,SEC:BET:S17_S18:WB,g158
A043,28,PLAT:BET:H02:EB,g159
A043,28,PLAT:BET:S15:EB,g159
A043,28,PLAT:BET:S16:EB,g159
A043,28,PLAT:BET:S17:EB,g159
A043,28,SEC:BET:H02_S15:EB,g159
A043,28,SEC:BET:S15_S16:EB,g159
A043,28,SEC:BET:S16_S17:EB,g159
A036,28,PLAT:BET:H01:EB,g160
A036,28,PLAT:BET:S14:EB,g160
A036,28,SEC:BET:S14_H01:EB,g160
A073,29,PLAT:BET:H01:EB,g161
A073,29,PLAT:BET:H02:EB,g161
A073,29,PLAT:BET:S15:EB,g161
A073,29,SEC:BET:H01_H02:EB,g161
A073,29,SEC:BET:H02_S15:EB,g161
A060,30,PLAT:BET:H02:EB,g162
A060,30,PLAT:BET:S15:EB,g162
A060,30,PLAT:BET:S16:EB,g162
A060,30,SEC:BET:H02_S15:EB,g162
A060,30,SEC:BET:S15_S16:EB,g162
A036,30,PLAT:BET:H01:EB,g163
A036,30,PLAT:BET:S14:EB,g163
A036,30,SEC:BET:S14_H01:EB,g163
